unb_code,unb_code_with_digit,client_code,geography,commercial,operation,super_commercial,operation_type,geo_code,commercial_code,cod_tipo_operacao,cod_supercom,nom_coordenador,flag_fd,keyfiltrodistrib,sigla_uf,flag_ativo,nome_dr,nome_dr_supercom,nome_gc,grupo_revendas_spo,cidade_matriz,coordenador_central_bebida,grupo_foco_regional,tipo_antigo,supercom_antiga,old_commercial,old_operation,nielsen_split,resale_group_ccttv,segmentation,secondary_segmentation,manual_subsegmentation,manual_secondary_subsegmentation,insert_date,folder_date
5414,54147,72862,GEO_2,COM_8,OP_11,SUPERCOM_4,Direct,20,61,5,13,Coordinator_29,1,KEY_1,FL,Inactive,Director_14,Director_SC_7,Manager_11,Group_10,Georgetown,Central_Coord_6,Focus_7,Type_2,OldSC_4,OldCom_5,OldOp_5,Nielsen_2,CCTTV_7,Seg_5,SecSeg_2,ManSeg_2,ManSecSeg_2,2025-11-14 04:37:36,2025-11-14
8550,85503,92218,GEO_5,COM_2,OP_5,SUPERCOM_3,Direct,17,43,1,3,Coordinator_11,0,KEY_39,IL,Inactive,Director_4,Director_SC_3,Manager_19,Group_2,Meadowbrook,Central_Coord_8,Focus_3,Type_4,OldSC_3,OldCom_3,OldOp_3,Nielsen_2,CCTTV_7,Seg_2,SecSeg_4,ManSeg_1,ManSecSeg_3,2025-03-16 01:30:38,2025-03-16
4380,43806,85650,GEO_3,COM_4,OP_1,SUPERCOM_4,Direct,19,34,7,17,Coordinator_21,1,KEY_79,PA,Inactive,Director_6,Director_SC_3,Manager_18,Group_5,Hilltown,Central_Coord_10,Focus_4,Type_1,OldSC_1,OldCom_6,OldOp_11,Nielsen_4,CCTTV_3,Seg_3,SecSeg_3,ManSeg_1,ManSecSeg_1,2025-04-30 06:01:06,2025-04-30
7461,74618,54786,GEO_5,COM_2,OP_12,SUPERCOM_5,Indirect,6,79,3,10,Coordinator_9,0,KEY_18,FL,Inactive,Director_14,Director_SC_4,Manager_1,Group_7,Springfield,Central_Coord_7,Focus_5,Type_3,OldSC_5,OldCom_1,OldOp_15,Nielsen_5,CCTTV_8,Seg_4,SecSeg_3,ManSeg_1,ManSecSeg_2,2023-07-30 00:26:31,2023-07-30
5702,57020,49778,GEO_1,COM_8,OP_16,SUPERCOM_1,Direct,31,77,4,9,Coordinator_4,0,KEY_60,IL,Active,Director_15,Director_SC_11,Manager_17,Group_8,Georgetown,Central_Coord_3,Focus_2,Type_1,OldSC_4,OldCom_5,OldOp_3,Nielsen_4,CCTTV_8,Seg_6,SecSeg_1,ManSeg_2,ManSecSeg_3,2025-04-27 12:30:59,2025-04-27
9148,91482,44103,GEO_2,COM_5,OP_20,SUPERCOM_2,Direct,26,21,7,13,Coordinator_27,0,KEY_24,IL,Active,Director_8,Director_SC_13,Manager_21,Group_1,Georgetown,Central_Coord_8,Focus_3,Type_3,OldSC_1,OldCom_1,OldOp_8,Nielsen_2,CCTTV_7,Seg_5,SecSeg_1,ManSeg_1,ManSecSeg_3,2024-10-13 10:13:00,2024-10-13
6706,67069,58368,GEO_2,COM_6,OP_13,SUPERCOM_5,Indirect,39,29,7,20,Coordinator_9,1,KEY_61,TX,Inactive,Director_7,Director_SC_15,Manager_4,Group_9,Georgetown,Central_Coord_7,Focus_7,Type_4,OldSC_4,OldCom_7,OldOp_2,Nielsen_2,CCTTV_6,Seg_2,SecSeg_1,ManSeg_3,ManSecSeg_3,2023-02-01 17:29:41,2023-02-01
9988,99882,56196,GEO_5,COM_9,OP_13,SUPERCOM_1,Indirect,32,16,10,12,Coordinator_30,1,KEY_33,TX,Inactive,Director_9,Director_SC_7,Manager_20,Group_5,Lakeside,Central_Coord_8,Focus_4,Type_4,OldSC_4,OldCom_5,OldOp_14,Nielsen_5,CCTTV_4,Seg_2,SecSeg_3,ManSeg_3,ManSecSeg_3,2024-02-17 11:30:02,2024-02-17
6007,60070,10900,GEO_3,COM_10,OP_8,SUPERCOM_1,Indirect,26,35,4,19,Coordinator_4,0,KEY_7,CA,Inactive,Director_2,Director_SC_7,Manager_24,Group_4,Lakeside,Central_Coord_2,Focus_5,Type_1,OldSC_3,OldCom_7,OldOp_14,Nielsen_4,CCTTV_1,Seg_2,SecSeg_4,ManSeg_1,ManSecSeg_2,2024-04-18 02:49:47,2024-04-18
2176,21762,50897,GEO_3,COM_10,OP_2,SUPERCOM_4,Direct,35,59,10,6,Coordinator_12,0,KEY_96,PA,Active,Director_2,Director_SC_10,Manager_2,Group_9,Meadowbrook,Central_Coord_7,Focus_2,Type_3,OldSC_2,OldCom_8,OldOp_4,Nielsen_1,CCTTV_4,Seg_4,SecSeg_4,ManSeg_1,ManSecSeg_2,2024-06-05 21:42:49,2024-06-05
