period_month_id,period_id,client_code,unb_code,product_abbreviation_code,operation_type,volume,billing,insert_date,folder_date
202308,20230820,82473,2215,183,DISTRIBUTOR,4849.96,39731,2025-10-19 04:46:48,202308
202302,20230227,88421,1043,583,DISTRIBUTOR,1057.99,179829,2025-10-10 19:18:56,202302
202403,20240305,99017,6957,838,DIRECT,3127.55,17728,2024-07-01 02:53:14,202403
202305,20230502,91411,4259,773,DIRECT,1334.95,101867,2025-11-14 07:52:05,202305
202305,20230524,93247,1300,563,DIRECT,245.94,174018,2025-06-28 09:58:51,202305
202301,20230123,39323,7257,742,DIRECT,913.19,344377,2024-01-28 23:59:22,202301
202302,20230203,18671,7355,708,DISTRIBUTOR,1079.77,51006,2025-07-18 02:24:02,202302
202409,20240911,71539,9800,265,INDIRECT,609.53,430864,2025-05-13 00:25:17,202409
202311,20231115,40884,8323,865,DIRECT,3739.74,175402,2023-10-29 18:09:38,202311
202404,20240420,46361,5292,375,DIRECT,623.30,481735,2025-07-12 06:23:48,202404
202411,20241101,61441,1307,463,INDIRECT,2288.92,417711,2023-01-01 07:12:36,202411
202412,20241220,65249,4255,479,INDIRECT,4671.35,43401,2024-01-19 11:03:28,202412
202407,20240706,89657,8211,593,INDIRECT,1067.71,55474,2024-03-07 02:13:54,202407
202408,20240812,80899,2531,215,INDIRECT,1689.51,482502,2025-04-04 13:17:45,202408
202309,20230910,91181,5782,927,DIRECT,1189.54,150237,2023-10-15 11:44:50,202309
202309,20230928,89959,9298,718,DISTRIBUTOR,4253.37,484324,2025-05-13 05:15:06,202309
202312,20231223,20132,2288,296,INDIRECT,4112.82,445331,2025-11-16 02:16:22,202312
202305,20230525,37305,5304,426,INDIRECT,4909.00,68068,2025-06-06 07:00:42,202305
202412,20241220,28351,5541,126,DIRECT,2250.75,300902,2024-05-01 10:36:55,202412
202310,20231021,90779,8316,686,INDIRECT,4112.58,271477,2023-12-05 05:42:19,202310
202408,20240811,97959,8307,507,DISTRIBUTOR,3352.03,221715,2023-01-30 08:44:13,202408
202409,20240919,87538,2183,490,DIRECT,3255.58,425876,2023-06-22 06:35:13,202409
202310,20231016,11718,8897,707,DISTRIBUTOR,319.14,99651,2024-01-14 17:47:12,202310
202302,20230217,56316,2063,350,INDIRECT,2320.41,344576,2023-01-24 11:16:06,202302
202310,20231012,93495,5884,179,DIRECT,3759.46,392345,2025-09-04 18:27:07,202310
202312,20231203,24042,5823,277,INDIRECT,3413.66,117370,2023-04-24 13:07:33,202312
202306,20230615,41582,9127,949,DIRECT,807.68,467773,2025-03-08 09:44:46,202306
202301,20230105,57110,9986,944,DIRECT,3845.79,409876,2025-01-23 16:43:02,202301
202402,20240208,36888,1324,438,DISTRIBUTOR,4685.96,257289,2024-05-05 10:39:16,202402
202311,20231108,86996,2718,285,INDIRECT,4184.30,71789,2023-10-05 23:36:20,202311
