customer_nk,FAMILY,order_nk,order_datetime,order_rating,is_first_order,is_first_order_football,is_first_order_warmup,is_first_order_football_2024,is_first_order_bbq,coupon_code,product_nk,item_name,category_source,unit_volume_hl,unit_quantity,item_unit_value,line_item_offer_discount_value,item_ttc_descontado,item_ttc_cheio,item_subtotal_value,item_coupon_discount_value,poc_id,delivery_city,delivery_state,delivery_uf,geo,cnpj,order_cashback_value,order_shipping_value,order_subtotal_value,order_total_value,order_coupon_discount_value,order_longitude,order_latitude,delivery_datetime,delivery_time_in_minutes,unit_price_charged_tax_excl_local,unit_price_offered_tax_excl_local,unit_subtotal_charged_tax_excl_local,unit_subtotal_offered_tax_excl_local,source,is_fmr,is_fmr_football,is_fmr_football_2024,is_fmr_bbq,is_barbecue,is_football,is_football_2024,is_warm_up,is_full_potential,abi_product,is_sampling,PRODUCT_ID,SUBSOURCE_NAME,UUID,PROD_MATCH_RATIO,PRODUCT_DESCRIPTION,BRAND_ID,VARIANT,COMPANY,CATEGORY,PACKAGE,KIT_TYPE,RETURNABLE,VOLUME,PACK_QUANTITY,PGV_CODE,PGV_DESCRIPTION,MULTIPACK_PRODUCTS,BASKET,BASKET_CLUSTER,CLUSTER_AS,FUTURE_BEVS,INOVACAO,unit_subtotal_volume_hl,unit_volume_l,unit_subtotal_volume_l,lover_cluster,id_moment,id_purchase
CUST000497,BubbleWave,596336,2023-11-19 09:14:10,3.5,No,Yes,No,Yes,,,PROD7138,CrispSoda Pack,DTC,0.101,20,9.88,1.55,182.93,197.60,197.60,14.67,POC643,Meadowbrook,FL,OH,Central,27405445410996,1.18,7.06,197.60,189.99,14.67,-74.8999,25.4253,2023-11-20 09:59:44,33,9.88,10.87,197.60,217.36,Web,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,6246,Online,46330788-3381,0.88,CrispSoda 12-Pack,BRD5,Regular,BevCo,Soft Drink,Can,Standard,No,0.4,16,PGV135,Premium Pack,No,Standard,Core,A,No,No,0.277,0.31,10.74,Regular,36,272
CUST000419,FizzCola,990656,2024-10-14 11:21:36,1.6,Yes,No,No,Yes,,,PROD7289,CrispSoda Pack,DTC,0.196,11,7.13,0.78,74.34,78.43,78.43,4.09,POC685,Hilltown,CA,FL,Central,80438846756229,4.61,8.65,78.43,82.99,4.09,-106.2283,43.1345,2024-10-14 17:49:47,128,7.13,7.84,78.43,86.27,Web,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,2103,Online,95950689-7048,0.89,BubbleWave 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,1.1,12,PGV377,Premium Pack,No,Standard,Core,A,No,No,0.224,2.11,15.97,Occasional,23,279
CUST000411,CrispSoda,833990,2023-03-16 16:43:35,3.8,Yes,Yes,Yes,No,0,,PROD6668,SparkleUp Pack,DTC,0.217,8,15.49,2.94,121.29,123.92,123.92,2.63,POC552,Meadowbrook,PA,IL,Central,44744147590296,4.58,9.29,123.92,130.58,2.63,-89.8859,31.2077,2023-03-17 02:38:35,108,15.49,17.04,123.92,136.31,Web,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,5138,Online,73169429-3117,0.81,BubbleWave 12-Pack,BRD6,Regular,BevCo,Soft Drink,Can,Standard,No,1.7,21,PGV473,Premium Pack,No,Standard,Core,A,No,No,0.039,1.20,1.73,Regular,55,100
CUST000362,ZestDrink,214429,2023-01-18 22:21:32,4.1,No,Yes,Yes,No,,,PROD4600,FizzCola Pack,DTC,0.085,1,5.50,1.83,4.48,5.50,5.50,1.02,POC525,Georgetown,CA,IL,West,82275511900499,3.59,7.23,5.50,11.71,1.02,-106.0023,37.7942,2023-01-19 04:42:44,36,5.50,6.05,5.50,6.05,Web,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,9819,Online,49958817-8519,0.99,PopMax 12-Pack,BRD7,Regular,BevCo,Soft Drink,Can,Standard,No,1.1,7,PGV810,Premium Pack,No,Standard,Core,A,No,No,0.350,1.84,6.60,Loyal,49,391
CUST000135,SparkleUp,389763,2024-11-03 08:50:53,3.3,No,Yes,Yes,No,,COUP152,PROD8479,FizzCola Pack,DTC,0.219,3,19.41,4.41,49.80,58.23,58.23,8.43,POC966,Lakeside,PA,FL,South,52444135624472,4.97,14.59,58.23,64.39,8.43,-94.5842,27.3882,2024-11-04 00:03:22,119,19.41,21.35,58.23,64.05,Web,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,9967,Online,53988330-8661,0.88,PopMax 12-Pack,BRD4,Regular,BevCo,Soft Drink,Can,Standard,No,0.3,20,PGV476,Premium Pack,No,Standard,Core,A,No,No,0.103,3.83,4.77,New,17,464
CUST000389,SparkleUp,913076,2024-06-11 23:04:27,1.7,No,No,No,Yes,,COUP111,PROD7191,SparkleUp Pack,DTC,0.172,13,8.03,2.09,103.83,104.39,104.39,0.56,POC760,Hilltown,OH,FL,East,20110735771529,0.81,9.20,104.39,113.03,0.56,-87.9897,31.7665,2024-06-12 08:57:13,135,8.03,8.83,104.39,114.83,Web,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,9043,Online,57569216-1374,0.95,PopMax 12-Pack,BRD4,Regular,BevCo,Soft Drink,Can,Standard,No,1.0,16,PGV768,Premium Pack,No,Standard,Core,A,No,No,0.415,2.75,14.58,Loyal,6,177
CUST000287,CrispSoda,760105,2024-05-29 11:18:15,4.6,Yes,Yes,No,Yes,,COUP55,PROD1745,ZestDrink Pack,DTC,0.044,8,10.36,0.76,77.37,82.88,82.88,5.51,POC321,Riverside,FL,PA,North,96829330701425,0.60,11.59,82.88,88.96,5.51,-74.0128,28.9121,2024-05-30 12:52:38,104,10.36,11.40,82.88,91.17,Web,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,5100,Online,51404562-6371,0.81,RefreshPlus 12-Pack,BRD2,Regular,BevCo,Soft Drink,Can,Standard,No,0.5,23,PGV857,Premium Pack,No,Standard,Core,A,No,No,0.123,4.28,3.55,New,16,108
CUST000210,FizzCola,481838,2023-07-22 01:51:24,2.2,Yes,Yes,Yes,No,1,,PROD5012,CrispSoda Pack,DTC,0.410,8,9.23,2.85,63.51,73.84,73.84,10.33,POC464,Georgetown,NY,TX,Central,94147314576442,4.69,6.16,73.84,69.67,10.33,-85.3328,44.8914,2023-07-22 00:33:57,88,9.23,10.15,73.84,81.22,Web,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,3148,Online,56438199-4220,0.98,FizzCola 12-Pack,BRD6,Regular,BevCo,Soft Drink,Can,Standard,No,1.4,23,PGV680,Premium Pack,No,Standard,Core,A,No,No,0.120,2.94,12.98,Occasional,52,225
CUST000052,PopMax,125029,2024-08-14 12:55:57,2.9,Yes,No,Yes,Yes,,,PROD5652,ZestDrink Pack,DTC,0.214,9,24.82,2.24,193.11,223.38,223.38,30.27,POC589,Riverside,NY,CA,South,31333533813022,1.47,5.84,223.38,198.95,30.27,-102.1536,39.6840,2024-08-15 21:07:19,127,24.82,27.30,223.38,245.72,Web,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,9641,Online,77853316-2673,0.95,SparkleUp 12-Pack,BRD6,Regular,BevCo,Soft Drink,Can,Standard,No,1.7,23,PGV811,Premium Pack,No,Standard,Core,A,No,No,0.376,4.94,1.94,Loyal,11,497
CUST000288,ZestDrink,593794,2024-02-20 03:23:40,2.8,Yes,No,Yes,No,1,,PROD4480,ZestDrink Pack,DTC,0.278,4,21.70,3.61,80.85,86.80,86.80,5.95,POC486,Georgetown,NY,FL,Central,70324481661853,2.38,11.50,86.80,92.35,5.95,-89.0414,43.5389,2024-02-21 22:23:03,156,21.70,23.87,86.80,95.48,Web,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,4152,Online,14091354-2454,0.90,SparkleUp 12-Pack,BRD4,Regular,BevCo,Soft Drink,Can,Standard,No,1.9,15,PGV170,Premium Pack,No,Standard,Core,A,No,No,0.116,1.87,16.26,Loyal,18,198
